Name,Block #,X,Y,Angle,Side
.ref,187,8250,2000,0,TOP
.ref,188,8600,2000,0,TOP
.ref,189,8950,2000,0,TOP
.ref,190,9300,2000,0,TOP
.ref,191,9650,2000,0,TOP
.ref,192,10000,2000,0,TOP
.ref,193,10350,2000,0,TOP
.ref,194,10700,2000,0,TOP
.ref,195,11050,2000,0,TOP
.ref,196,200,2350,0,TOP
.ref,197,550,2350,0,TOP
.ref,198,900,2350,0,TOP
.ref,199,1250,2350,0,TOP
.ref,200,1600,2350,0,TOP
.ref,201,1950,2350,0,TOP
.ref,202,2300,2350,0,TOP
.ref,203,2650,2350,0,TOP
.ref,204,3000,2350,0,TOP
.ref,205,3350,2350,0,TOP
.ref,206,3700,2350,0,TOP
.ref,207,4050,2350,0,TOP
.ref,208,4400,2350,0,TOP
.ref,209,4750,2350,0,TOP
.ref,210,5100,2350,0,TOP
.ref,211,5450,2350,0,TOP
.ref,212,5800,2350,0,TOP
.ref,213,6150,2350,0,TOP
.ref,214,6500,2350,0,TOP
.ref,215,6850,2350,0,TOP
.ref,216,7200,2350,0,TOP
.ref,217,7550,2350,0,TOP
.ref,218,7900,2350,0,TOP
.ref,219,8250,2350,0,TOP
.ref,220,8600,2350,0,TOP
.ref,221,8950,2350,0,TOP
.ref,222,9300,2350,0,TOP
.ref,223,9650,2350,0,TOP
.ref,224,10000,2350,0,TOP
.ref,225,10350,2350,0,TOP
.ref,226,10700,2350,0,TOP
.ref,227,11050,2350,0,TOP
.ref,228,200,2700,0,TOP
.ref,229,550,2700,0,TOP
.ref,230,900,2700,0,TOP
.ref,231,1250,2700,0,TOP
.ref,232,1600,2700,0,TOP
.ref,233,1950,2700,0,TOP
.ref,234,2300,2700,0,TOP
.ref,235,2650,2700,0,TOP
.ref,236,3000,2700,0,TOP
.ref,237,3350,2700,0,TOP
.ref,238,3700,2700,0,TOP
.ref,239,4050,2700,0,TOP
.ref,240,4400,2700,0,TOP
.ref,241,4750,2700,0,TOP
.ref,242,5100,2700,0,TOP
.ref,243,5450,2700,0,TOP
.ref,244,5800,2700,0,TOP
.ref,245,6150,2700,0,TOP
.ref,246,6500,2700,0,TOP
.ref,247,6850,2700,0,TOP
.ref,248,7200,2700,0,TOP
.ref,249,7550,2700,0,TOP
.ref,250,7900,2700,0,TOP
.ref,251,8250,2700,0,TOP
.ref,252,8600,2700,0,TOP
.ref,253,8950,2700,0,TOP
.ref,254,9300,2700,0,TOP
.ref,255,9650,2700,0,TOP
.ref,256,10000,2700,0,TOP
.ref,257,10350,2700,0,TOP
.ref,258,10700,2700,0,TOP
.ref,259,11050,2700,0,TOP
.ref,260,200,3050,0,TOP
.ref,261,550,3050,0,TOP
.ref,262,900,3050,0,TOP
.ref,263,1250,3050,0,TOP
.ref,264,1600,3050,0,TOP
.ref,265,1950,3050,0,TOP
.ref,266,2300,3050,0,TOP
.ref,267,2650,3050,0,TOP
.ref,268,3000,3050,0,TOP
.ref,269,3350,3050,0,TOP
.ref,270,3700,3050,0,TOP
.ref,271,4050,3050,0,TOP
.ref,272,4400,3050,0,TOP
.ref,273,4750,3050,0,TOP
.ref,274,5100,3050,0,TOP
.ref,275,5450,3050,0,TOP
.ref,276,5800,3050,0,TOP
.ref,277,6150,3050,0,TOP
.ref,278,6500,3050,0,TOP
.ref,279,6850,3050,0,TOP
.ref,280,7200,3050,0,TOP
.ref,281,7550,3050,0,TOP
.ref,282,7900,3050,0,TOP
.ref,283,8250,3050,0,TOP
.ref,284,8600,3050,0,TOP
.ref,285,8950,3050,0,TOP
.ref,286,9300,3050,0,TOP
.ref,287,9650,3050,0,TOP
.ref,288,10000,3050,0,TOP
